transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00283,2026-01-04T03:49:50Z,36.98,atm_withdrawal,DE,True,False
txn_0000001,card_00193,2026-01-11T04:50:29Z,14.63,travel,AE,False,False
txn_0000002,card_00631,2026-01-09T07:33:13Z,86.59,electronics,GB,False,False
txn_0000003,card_00505,2026-01-07T17:06:20Z,47.8,online_retail,IN,False,False
txn_0000004,card_00101,2026-01-07T03:45:13Z,53.87,utilities,DE,True,True
txn_0000005,card_00093,2026-01-24T14:35:53Z,12.94,electronics,IN,False,False
txn_0000006,card_00563,2026-01-19T15:34:40Z,92.18,entertainment,IN,False,False
txn_0000007,card_00156,2026-01-02T21:03:36Z,22.69,atm_withdrawal,AE,True,False
txn_0000008,card_00099,2026-01-17T00:42:23Z,20.46,pharmacy,US,False,False
txn_0000009,card_00095,2026-01-04T03:38:37Z,124.39,fuel,US,True,False
txn_0000010,card_00615,2026-01-19T21:18:41Z,602.18,atm_withdrawal,US,False,True
txn_0000011,card_00680,2026-01-17T10:44:24Z,96.56,online_retail,GB,True,False
txn_0000012,card_00634,2026-01-13T22:25:49Z,45.65,fuel,DE,False,False
txn_0000013,card_00801,2026-01-01T09:14:11Z,730.69,restaurant,AE,True,True
txn_0000014,card_00684,2026-01-14T17:10:05Z,190.98,electronics,IN,False,False
txn_0000015,card_00642,2026-01-30T00:37:03Z,12.16,electronics,IN,True,False
txn_0000016,card_00012,2026-01-09T04:04:18Z,74.34,pharmacy,DE,False,False
txn_0000017,card_00151,2026-01-12T23:01:40Z,78.39,utilities,SG,True,False
txn_0000018,card_00799,2026-01-09T01:59:37Z,52.78,atm_withdrawal,AE,False,False
txn_0000019,card_00703,2026-01-10T22:49:20Z,353.98,utilities,GB,True,False
txn_0000020,card_00857,2026-01-02T22:04:23Z,54.23,atm_withdrawal,DE,True,False
txn_0000021,card_00391,2026-01-13T19:49:37Z,14.03,pharmacy,SG,True,False
txn_0000022,card_00162,2026-01-06T19:13:45Z,26.35,restaurant,IN,True,False
txn_0000023,card_00505,2026-01-25T08:50:04Z,57.85,pharmacy,GB,True,False
txn_0000024,card_00616,2026-01-14T15:26:48Z,42.98,restaurant,GB,True,False
txn_0000025,card_00832,2026-01-03T03:05:53Z,131.52,fuel,IN,True,False
txn_0000026,card_00006,2026-01-06T11:37:28Z,9.86,restaurant,GB,True,False
txn_0000027,card_00171,2026-01-23T12:45:48Z,289.3,online_retail,GB,False,False
txn_0000028,card_00374,2026-01-05T07:48:07Z,35.55,online_retail,US,False,False
txn_0000029,card_00048,2026-01-22T13:19:31Z,107.51,atm_withdrawal,US,True,False
txn_0000030,card_00831,2026-01-13T00:44:04Z,202.19,online_retail,IN,True,False
txn_0000031,card_00032,2026-01-16T11:27:33Z,11.09,restaurant,US,True,False
txn_0000032,card_00161,2026-01-22T15:02:22Z,139.59,entertainment,IN,True,False
txn_0000033,card_00788,2026-01-14T08:57:39Z,10.26,fuel,SG,True,False
txn_0000034,card_00861,2026-01-02T16:43:37Z,476.74,online_retail,US,True,False
txn_0000035,card_00486,2026-01-30T20:02:10Z,213.01,utilities,AE,True,False
txn_0000036,card_00817,2026-01-22T09:54:02Z,21.44,entertainment,DE,True,False
txn_0000037,card_00719,2026-01-14T08:05:02Z,59.03,fuel,IN,True,False
txn_0000038,card_00714,2026-01-22T16:49:06Z,4.49,restaurant,SG,False,False
