transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00753,2026-01-13T16:38:00Z,electronics,True,False,dev_002038,US,4688
txn_0000501,card_00894,2026-01-19T20:29:28Z,pharmacy,False,False,dev_004846,IN,22888
txn_0000502,card_00147,2026-01-12T07:28:13Z,restaurant,True,True,dev_002074,US,60791
txn_0000503,card_00650,2026-01-04T18:35:23Z,fuel,True,False,dev_002654,DE,966
txn_0000504,card_00770,2026-01-11T10:15:41Z,grocery,True,True,dev_003575,GB,8701
txn_0000505,card_00330,2026-01-13T07:29:09Z,utilities,False,False,dev_003902,GB,7613
txn_0000506,card_00184,2026-01-25T14:29:10Z,grocery,False,False,dev_004393,GB,7066
txn_0000507,card_00340,2026-01-27T00:18:46Z,electronics,True,False,dev_001015,SG,5143
txn_0000508,card_00305,2026-01-15T21:05:52Z,entertainment,False,False,dev_002075,DE,3301
txn_0000509,card_00343,2026-01-02T03:41:55Z,atm_withdrawal,False,False,dev_004832,US,12001
txn_0000510,card_00063,2026-01-09T07:25:02Z,travel,True,False,dev_002531,DE,3701
txn_0000511,card_00397,2026-01-14T04:13:20Z,grocery,True,False,dev_000257,DE,1788
txn_0000512,card_00850,2026-01-22T04:10:47Z,pharmacy,False,False,dev_004137,GB,6825
txn_0000513,card_00254,2026-01-22T21:00:23Z,atm_withdrawal,True,False,dev_001298,GB,9540
txn_0000514,card_00717,2026-01-02T21:53:17Z,utilities,False,False,dev_003999,SG,1057
txn_0000515,card_00713,2026-01-29T17:55:23Z,grocery,False,False,dev_003160,GB,15974
txn_0000516,card_00001,2026-01-13T22:57:48Z,online_retail,True,False,dev_004917,GB,4022
txn_0000517,card_00561,2026-01-29T22:42:56Z,fuel,True,False,dev_001167,GB,20991
txn_0000518,card_00128,2026-01-19T19:23:45Z,pharmacy,False,False,dev_000593,US,1890
txn_0000519,card_00121,2026-01-02T10:37:55Z,fuel,True,False,dev_000180,IN,7851
txn_0000520,card_00055,2026-01-17T06:47:49Z,entertainment,False,False,dev_002741,SG,1574
txn_0000521,card_00773,2026-01-21T07:20:17Z,entertainment,True,False,dev_004036,SG,51823
txn_0000522,card_00436,2026-01-11T10:30:54Z,atm_withdrawal,False,False,dev_004302,IN,6489
txn_0000523,card_00388,2026-01-08T21:29:42Z,travel,False,False,dev_003710,GB,1913
txn_0000524,card_00174,2026-01-28T05:06:50Z,utilities,False,False,dev_000967,IN,19608
txn_0000525,card_00469,2026-01-05T16:19:14Z,electronics,False,False,dev_002506,SG,8104
txn_0000526,card_00107,2026-01-16T01:33:38Z,restaurant,True,False,dev_000067,AE,7398
txn_0000527,card_00831,2026-01-14T11:40:31Z,pharmacy,True,False,dev_000858,IN,4267
txn_0000528,card_00323,2026-01-09T13:26:50Z,pharmacy,False,False,dev_000862,US,27167
